condition,source_model,fold,seed,deployable,macro_delta_f1,micro_delta_f1,modification_precision,delete_recall,correct_pair_preservation,modified_pair_count,modified_rna_count,eligible_rna_count,beneficial_edit_count,harmful_edit_count,original_tp_count,tp_after_count,original_fp_count
V3_BASE,trrosettarna2_native_ss,4,67,True,0.06573800275219836,0.06293192106957834,1.0,0.625,1.0,45,21,24,45,0,291,291,72
V3_VETO2_FIXED,rnafold,0,17,True,-0.0008349282296650707,-0.00025821981508833414,0.5,0.027777777777777776,0.9967637540453075,2,2,25,1,1,309,308,36
V3_VETO2_FIXED,petfold,0,17,True,0.001785498017374878,0.0023789133123989226,0.75,0.07142857142857142,0.9967532467532467,4,4,25,3,1,308,307,42
V3_VETO2_FIXED,trrosettarna2_native_ss,0,17,True,0.05970344202812994,0.06995033976953313,1.0,0.7464788732394366,1.0,53,19,25,53,0,316,316,71
V3_VETO2_FIXED,rnafold,0,29,True,-8.865248226950672e-05,-0.00025821981508833414,0.5,0.027777777777777776,0.9967637540453075,2,1,25,1,1,309,308,36
V3_VETO2_FIXED,petfold,0,29,True,0.0038191300866095234,0.003716586458283766,0.8,0.09523809523809523,0.9967532467532467,5,4,25,4,1,308,307,42
V3_VETO2_FIXED,trrosettarna2_native_ss,0,29,True,0.06278036510505303,0.07137733067020824,1.0,0.7605633802816901,1.0,54,19,25,54,0,316,316,71
V3_VETO2_FIXED,rnafold,0,41,True,-0.00016227447441869103,0.000839663782795208,0.6,0.08333333333333333,0.9935275080906149,5,3,25,3,2,309,307,36
V3_VETO2_FIXED,petfold,0,41,True,0.003745508094460339,0.004786062984588946,0.75,0.14285714285714285,0.9935064935064936,8,5,25,6,2,308,306,42
V3_VETO2_FIXED,trrosettarna2_native_ss,0,41,True,0.06033647760853393,0.07266302224052368,0.9824561403508771,0.7887323943661971,0.9968354430379747,57,21,25,56,1,316,315,71
V3_VETO2_FIXED,rnafold,0,53,True,-0.0004497098646034825,0.0010957751294110585,0.6666666666666666,0.05555555555555555,0.9967637540453075,3,2,25,2,1,309,308,36
