condition,track,scope,aggregation,metric,mean,population_sd,min,max,n
CER_EVIDENCE_MASKED,combined,LOCAL_CONFLICT,event_pooled,fp_removal,0.3950819672131147,0.022001082228703433,0.3549682167949147,0.41937102709936436,5
CER_EVIDENCE_MASKED,combined,LOCAL_CONFLICT,event_pooled,lost_tp,0.0,0.0,0.0,0.0,5
CER_EVIDENCE_MASKED,combined,LOCAL_CONFLICT,event_pooled,modification_precision,1.0,0.0,1.0,1.0,5
CER_EVIDENCE_MASKED,combined,LOCAL_CONFLICT,event_pooled,opportunity_count,5978.0,0.0,5978.0,5978.0,5
CER_EVIDENCE_MASKED,combined,LOCAL_CONFLICT,event_pooled,removed_fp,2361.8,131.52246956318908,2122.0,2507.0,5
CER_EVIDENCE_MASKED,combined,LOCAL_CONFLICT,event_pooled,tp_preservation,,,,,0
CER_EVIDENCE_MASKED,combined,LOCAL_CONFLICT,rna_balanced,coverage,0.60014041426905,0.031173401421993676,0.5523643099900458,0.63833394493922,5
CER_EVIDENCE_MASKED,combined,LOCAL_CONFLICT,rna_balanced,fp_removal,0.60014041426905,0.031173401421993676,0.5523643099900458,0.63833394493922,5
CER_EVIDENCE_MASKED,combined,LOCAL_CONFLICT,rna_balanced,lost_tp,0.0,0.0,0.0,0.0,5
CER_EVIDENCE_MASKED,combined,LOCAL_CONFLICT,rna_balanced,modification_precision,1.0,0.0,1.0,1.0,5
CER_EVIDENCE_MASKED,combined,LOCAL_CONFLICT,rna_balanced,removed_fp,2361.8,131.52246956318908,2122.0,2507.0,5
CER_EVIDENCE_MASKED,combined,LOCAL_CONFLICT,rna_balanced,tp_preservation,,,,,0
CER_EVIDENCE_MASKED,combined,NON_EVIDENCED,event_pooled,coverage,0.06699736147757256,0.0035577758314251627,0.06151275285839929,0.07131046613896218,5
CER_EVIDENCE_MASKED,combined,NON_EVIDENCED,event_pooled,fp_removal,0.385478219589936,0.015593284919174919,0.3589077016976739,0.40151909035422834,5
CER_EVIDENCE_MASKED,combined,NON_EVIDENCED,event_pooled,lost_tp,1991.6,388.37435548707384,1608.0,2676.0,5
CER_EVIDENCE_MASKED,combined,NON_EVIDENCED,event_pooled,modification_precision,0.8960837097873547,0.015219162108908642,0.8679822397631969,0.908035458964827,5
CER_EVIDENCE_MASKED,combined,NON_EVIDENCED,event_pooled,opportunity_count,284250.0,0.0,284250.0,284250.0,5
CER_EVIDENCE_MASKED,combined,NON_EVIDENCED,event_pooled,removed_fp,17052.4,689.8001449695412,15877.0,17762.0,5
CER_EVIDENCE_MASKED,combined,NON_EVIDENCED,event_pooled,tp_preservation,0.9917021161353761,0.0016181388320093853,0.9888506039256207,0.9933003628970097,5
CER_EVIDENCE_MASKED,combined,NON_EVIDENCED,rna_balanced,coverage,0.0672999288217013,0.0030033271215832227,0.0621273009381205,0.07031493990496133,5
CER_EVIDENCE_MASKED,combined,NON_EVIDENCED,rna_balanced,fp_removal,0.6175679822995652,0.014731018934189424,0.5950281133732347,0.6336714371417264,5
CER_EVIDENCE_MASKED,combined,NON_EVIDENCED,rna_balanced,lost_tp,1991.6,388.37435548707384,1608.0,2676.0,5
CER_EVIDENCE_MASKED,combined,NON_EVIDENCED,rna_balanced,modification_precision,0.9449651304519332,0.005282639253535532,0.9389044189913558,0.9546438911687625,5
CER_EVIDENCE_MASKED,combined,NON_EVIDENCED,rna_balanced,removed_fp,17052.4,689.8001449695412,15877.0,17762.0,5
CER_EVIDENCE_MASKED,combined,NON_EVIDENCED,rna_balanced,tp_preservation,0.9935841322379526,0.0018401757031139756,0.990753116937688,0.9960768692090831,5
CER_EVIDENCE_MASKED,positive_pair,DIRECT,event_pooled,coverage,0.005977680737506065,0.0010881499135542076,0.004706453178068898,0.007811741872877244,5
CER_EVIDENCE_MASKED,positive_pair,DIRECT,event_pooled,fp_removal,,,,,0
CER_EVIDENCE_MASKED,positive_pair,DIRECT,event_pooled,lost_tp,123.2,22.426769718352215,97.0,161.0,5
CER_EVIDENCE_MASKED,positive_pair,DIRECT,event_pooled,modification_precision,0.0,0.0,0.0,0.0,5
CER_EVIDENCE_MASKED,positive_pair,DIRECT,event_pooled,opportunity_count,20610.0,0.0,20610.0,20610.0,5
CER_EVIDENCE_MASKED,positive_pair,DIRECT,event_pooled,removed_fp,0.0,0.0,0.0,0.0,5
CER_EVIDENCE_MASKED,positive_pair,DIRECT,event_pooled,tp_preservation,0.994022319262494,0.0010881499135542054,0.9921882581271227,0.995293546821931,5
CER_EVIDENCE_MASKED,positive_pair,DIRECT,rna_balanced,coverage,0.007449435851899992,0.0028822850582909364,0.0036925983095969597,0.012244138370704162,5
CER_EVIDENCE_MASKED,positive_pair,DIRECT,rna_balanced,fp_removal,,,,,0
CER_EVIDENCE_MASKED,positive_pair,DIRECT,rna_balanced,lost_tp,123.2,22.426769718352215,97.0,161.0,5
CER_EVIDENCE_MASKED,positive_pair,DIRECT,rna_balanced,modification_precision,0.0,0.0,0.0,0.0,5
CER_EVIDENCE_MASKED,positive_pair,DIRECT,rna_balanced,removed_fp,0.0,0.0,0.0,0.0,5
CER_EVIDENCE_MASKED,positive_pair,DIRECT,rna_balanced,tp_preservation,0.9925505641481,0.0028822850582909654,0.9877558616292957,0.996307401690403,5
CER_EVIDENCE_MASKED,positive_pair,LOCAL_CONFLICT,event_pooled,coverage,0.2501105379513633,0.011851354748990196,0.22770817980840088,0.2630803242446573,5
CER_EVIDENCE_MASKED,positive_pair,LOCAL_CONFLICT,event_pooled,fp_removal,0.2501105379513633,0.011851354748990196,0.22770817980840088,0.2630803242446573,5
CER_EVIDENCE_MASKED,positive_pair,LOCAL_CONFLICT,event_pooled,lost_tp,0.0,0.0,0.0,0.0,5
CER_EVIDENCE_MASKED,positive_pair,LOCAL_CONFLICT,event_pooled,modification_precision,1.0,0.0,1.0,1.0,5
CER_EVIDENCE_MASKED,positive_pair,LOCAL_CONFLICT,event_pooled,opportunity_count,1357.0,0.0,1357.0,1357.0,5
CER_EVIDENCE_MASKED,positive_pair,LOCAL_CONFLICT,event_pooled,removed_fp,339.4,16.0822883943797,309.0,357.0,5
CER_EVIDENCE_MASKED,positive_pair,LOCAL_CONFLICT,event_pooled,tp_preservation,,,,,0
CER_EVIDENCE_MASKED,positive_pair,LOCAL_CONFLICT,rna_balanced,coverage,0.3420801779927564,0.03793419787906842,0.29992272011247684,0.4061187342328976,5
CER_EVIDENCE_MASKED,positive_pair,LOCAL_CONFLICT,rna_balanced,fp_removal,0.3420801779927564,0.03793419787906842,0.29992272011247684,0.4061187342328976,5
CER_EVIDENCE_MASKED,positive_pair,LOCAL_CONFLICT,rna_balanced,lost_tp,0.0,0.0,0.0,0.0,5
CER_EVIDENCE_MASKED,positive_pair,LOCAL_CONFLICT,rna_balanced,modification_precision,1.0,0.0,1.0,1.0,5
CER_EVIDENCE_MASKED,positive_pair,LOCAL_CONFLICT,rna_balanced,removed_fp,339.4,16.0822883943797,309.0,357.0,5
CER_EVIDENCE_MASKED,positive_pair,LOCAL_CONFLICT,rna_balanced,tp_preservation,,,,,0
CER_EVIDENCE_MASKED,positive_pair,NON_EVIDENCED,event_pooled,coverage,0.07582641294912076,0.0031440228743201573,0.07150594218374293,0.08091664041914097,5
CER_EVIDENCE_MASKED,positive_pair,NON_EVIDENCED,event_pooled,fp_removal,0.40841036795359803,0.012110057854386647,0.39106398404930215,0.42536704730831976,5
CER_EVIDENCE_MASKED,positive_pair,NON_EVIDENCED,event_pooled,lost_tp,857.6,157.26232861050988,678.0,1146.0,5
CER_EVIDENCE_MASKED,positive_pair,NON_EVIDENCED,event_pooled,modification_precision,0.9135747185410088,0.012254374343117541,0.8911990885787525,0.927159432746025,5
CER_EVIDENCE_MASKED,positive_pair,NON_EVIDENCED,event_pooled,opportunity_count,130171.0,0.0,130171.0,130171.0,5
CER_EVIDENCE_MASKED,positive_pair,NON_EVIDENCED,event_pooled,removed_fp,9012.8,267.24475673060454,8630.0,9387.0,5
CER_EVIDENCE_MASKED,positive_pair,NON_EVIDENCED,event_pooled,tp_preservation,0.9920668251574887,0.0014547452763615356,0.9893989991027076,0.9937282036576228,5
CER_EVIDENCE_MASKED,positive_pair,NON_EVIDENCED,rna_balanced,coverage,0.07860295204456018,0.0024655863512608464,0.0754124325254258,0.08247232111452647,5
CER_EVIDENCE_MASKED,positive_pair,NON_EVIDENCED,rna_balanced,fp_removal,0.6276180891750954,0.014613000088453936,0.6028597274067095,0.6456718433789118,5
CER_EVIDENCE_MASKED,positive_pair,NON_EVIDENCED,rna_balanced,lost_tp,857.6,157.26232861050988,678.0,1146.0,5
CER_EVIDENCE_MASKED,positive_pair,NON_EVIDENCED,rna_balanced,modification_precision,0.9546330787016789,0.003405800292419155,0.9499332359125088,0.9603300785941933,5
CER_EVIDENCE_MASKED,positive_pair,NON_EVIDENCED,rna_balanced,removed_fp,9012.8,267.24475673060454,8630.0,9387.0,5
CER_EVIDENCE_MASKED,positive_pair,NON_EVIDENCED,rna_balanced,tp_preservation,0.9935660457138921,0.001961404983430135,0.990026033635961,0.995869055125358,5
CER_EVIDENCE_MASKED,unpaired,DIRECT,event_pooled,coverage,,,,,0
CER_EVIDENCE_MASKED,unpaired,DIRECT,event_pooled,fp_removal,,,,,0
CER_EVIDENCE_MASKED,unpaired,DIRECT,event_pooled,lost_tp,0.0,0.0,0.0,0.0,5
CER_EVIDENCE_MASKED,unpaired,DIRECT,event_pooled,modification_precision,,,,,0
CER_EVIDENCE_MASKED,unpaired,DIRECT,event_pooled,opportunity_count,0.0,0.0,0.0,0.0,5
CER_EVIDENCE_MASKED,unpaired,DIRECT,event_pooled,removed_fp,0.0,0.0,0.0,0.0,5
CER_EVIDENCE_MASKED,unpaired,DIRECT,event_pooled,tp_preservation,,,,,0
CER_EVIDENCE_MASKED,unpaired,DIRECT,rna_balanced,coverage,,,,,0
CER_EVIDENCE_MASKED,unpaired,DIRECT,rna_balanced,fp_removal,,,,,0
CER_EVIDENCE_MASKED,unpaired,DIRECT,rna_balanced,lost_tp,0.0,0.0,0.0,0.0,5
CER_EVIDENCE_MASKED,unpaired,DIRECT,rna_balanced,modification_precision,,,,,0
CER_EVIDENCE_MASKED,unpaired,DIRECT,rna_balanced,removed_fp,0.0,0.0,0.0,0.0,5
CER_EVIDENCE_MASKED,unpaired,DIRECT,rna_balanced,tp_preservation,,,,,0
CER_EVIDENCE_MASKED,unpaired,LOCAL_CONFLICT,event_pooled,coverage,0.4376541874053236,0.02504773492081246,0.3923393204933997,0.4652672581692274,5
CER_EVIDENCE_MASKED,unpaired,LOCAL_CONFLICT,event_pooled,fp_removal,0.4376541874053236,0.02504773492081246,0.3923393204933997,0.4652672581692274,5
CER_EVIDENCE_MASKED,unpaired,LOCAL_CONFLICT,event_pooled,lost_tp,0.0,0.0,0.0,0.0,5
