condition,track,metric,mean,population_sd,min,max,n
CER_EVIDENCE_MASKED,unpaired,event_modification_precision,0.8993500533617634,0.017180232033085416,0.8702290076335878,0.9164490861618799,5
CER_EVIDENCE_MASKED,unpaired,event_coverage,0.07054820415879018,0.004695402554634414,0.06294896030245746,0.07561436672967864,5
CER_EVIDENCE_MASKED,unpaired,event_delta_f1,0.024384725563079336,0.0014773981660738237,0.022214810876908464,0.026414668791611362,5
CER_EVIDENCE_MASKED,unpaired,event_lost_tp,1134.0,246.94938752708012,930.0,1530.0,5
CER_EVIDENCE_MASKED,unpaired,event_removed_fp,10062.0,587.1422314908033,9060.0,10680.0,5
CER_EVIDENCE_MASKED,unpaired,rna_tp_preservation,0.9935727382173868,0.0020460129938070708,0.9911705441893908,0.9963056313982367,5
CER_EVIDENCE_MASKED,unpaired,rna_fp_removal,0.6044208902039805,0.028908705803832334,0.5632569365959964,0.6399811333948969,5
CER_EVIDENCE_MASKED,unpaired,rna_modification_precision,0.9503651429012875,0.006395939791954201,0.943727453102453,0.9618229422353134,5
CER_EVIDENCE_MASKED,unpaired,rna_coverage,0.06908107364963809,0.004415350138381958,0.060988193199935876,0.07376406113443479,5
CER_EVIDENCE_MASKED,unpaired,rna_delta_f1,0.024273441147212305,0.001234204662537587,0.02276522062446998,0.026125722021596454,5
CER_EVIDENCE_MASKED,unpaired,rna_lost_tp,1134.0,246.94938752708012,930.0,1530.0,5
CER_EVIDENCE_MASKED,unpaired,rna_removed_fp,10062.0,587.1422314908033,9060.0,10680.0,5
CER_EVIDENCE_MASKED,combined,event_tp_preservation,0.9918855972036237,0.0015525885462810377,0.9891145447638927,0.9934579833706157,5
CER_EVIDENCE_MASKED,combined,event_fp_removal,0.3866215274320422,0.016255050571889154,0.3584387135318132,0.4036443293836503,5
CER_EVIDENCE_MASKED,combined,event_modification_precision,0.9023495936437695,0.014158632586122537,0.8757227965656211,0.9134693463256192,5
CER_EVIDENCE_MASKED,combined,event_coverage,0.06926115854560896,0.0036614995861908024,0.06338993301977236,0.07344018427605377,5
CER_EVIDENCE_MASKED,combined,event_delta_f1,0.02450921565520725,0.0008836831591111999,0.023148005705360353,0.02553893350966785,5
CER_EVIDENCE_MASKED,combined,event_lost_tp,2114.8,404.64028469740873,1705.0,2837.0,5
CER_EVIDENCE_MASKED,combined,event_removed_fp,19414.2,816.2473644674144,17999.0,20269.0,5
