source_model,channel,density_percent,method,eligible_realization_count,eligible_rna_count,missing_rna_count,macro_precision,macro_precision_defined_rna_count,macro_recall,macro_recall_defined_rna_count,macro_f1,macro_f1_defined_rna_count,macro_tp_preservation,macro_tp_preservation_defined_rna_count,macro_fp_removal,macro_fp_removal_defined_rna_count,macro_modification_precision,macro_modification_precision_defined_rna_count,macro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item_defined_rna_count,macro_delta_f1_vs_b0,macro_delta_f1_vs_b1,macro_delta_f1_per_evidence_item,macro_delta_f1_per_evidence_item_defined_rna_count
rnafold,POSITIVE_PAIR_EVIDENCE,5,B0_ORIGINAL,603,121,0,0.9069374161618192,121,0.9138670306547281,121,0.9058176119079561,121,1.0,120,0.0,51,,0,0.0,121,0.0,-0.006991473358980094,0.0,121
rnafold,POSITIVE_PAIR_EVIDENCE,5,B1_LOCAL_HARD,603,121,0,0.911933313405964,121,0.9217598423841158,121,0.9128090852669362,121,1.0,120,0.024783621093998908,51,1.0,22,0.051515151515151514,121,0.006991473358980094,0.0,0.0013037069316830733,121
rnafold,POSITIVE_PAIR_EVIDENCE,5,B2_GLOBAL_REFOLD,603,121,0,0.9270915357733726,121,0.933676038689374,121,0.9260494117362392,121,0.9722866161616162,120,0.16868357920486088,51,0.7412290506969069,22,0.4118457300275482,121,0.02023179982828316,0.013240326469303065,0.003575614175345353,121
rnafold,POSITIVE_PAIR_EVIDENCE,10,B0_ORIGINAL,595,121,0,0.9069374161618192,121,0.9138670306547281,121,0.9058176119079561,121,1.0,120,0.0,51,,0,0.0,121,0.0,-0.007661787257090991,0.0,121
rnafold,POSITIVE_PAIR_EVIDENCE,10,B1_LOCAL_HARD,595,121,0,0.9124811244607698,121,0.9225034781437604,121,0.9134793991650471,121,1.0,120,0.030335704054817714,51,1.0,24,0.042451790633608814,121,0.007661787257090991,0.0,0.0011202501028999001,121
rnafold,POSITIVE_PAIR_EVIDENCE,10,B2_GLOBAL_REFOLD,595,121,0,0.9295059180648642,121,0.9396936381018245,121,0.9307761211834313,121,0.980868961352657,120,0.1660251354528415,51,0.832464885629685,24,0.27741046831955923,121,0.02495850927547527,0.01729672201838428,0.0032316677193580997,121
rnafold,POSITIVE_PAIR_EVIDENCE,20,B0_ORIGINAL,570,118,3,0.9180569737469392,118,0.9255611390067164,118,0.9171275709772743,118,1.0,117,0.0,48,,0,0.0,118,0.0,-0.013534001825258213,0.0,118
rnafold,POSITIVE_PAIR_EVIDENCE,20,B1_LOCAL_HARD,570,118,3,0.9278607283608412,118,0.940397608527256,118,0.9306615728025325,118,1.0,117,0.0640777972027972,48,1.0,25,0.03951524934575782,118,0.013534001825258213,0.0,0.0018264626972211587,118
rnafold,POSITIVE_PAIR_EVIDENCE,20,B2_GLOBAL_REFOLD,570,118,3,0.9428924707714758,118,0.954210203688136,118,0.9448497930311658,118,0.9698453881062578,117,0.2103669941169941,48,0.8012602641306494,25,0.16584054834054834,118,0.02772222205389152,0.014188220228633308,0.0033782935739934215,118
rnafold,POSITIVE_PAIR_EVIDENCE,50,B0_ORIGINAL,545,113,8,0.9202782052022399,113,0.9424125781345085,113,0.928292849758065,113,1.0,112,0.0,45,,0,0.0,113,0.0,-0.027162269600795486,0.0,113
rnafold,POSITIVE_PAIR_EVIDENCE,50,B1_LOCAL_HARD,545,113,8,0.9419176856094394,113,0.9733819206701102,113,0.9554551193588605,113,1.0,112,0.19580837680837682,45,1.0,26,0.04121829962498319,113,0.027162269600795486,0.0,0.0018815390073526777,113
