source_model,channel,density_percent,method,eligible_realization_count,eligible_rna_count,missing_rna_count,sum_tp,sum_fp,sum_fn,sum_original_tp,sum_original_fp,sum_original_fn,sum_preserved_tp,sum_lost_tp,sum_removed_fp,sum_preserved_original_fp,sum_new_tp,sum_new_fp,sum_unchanged_pairs,sum_deleted_pairs,sum_added_pairs,sum_beneficial_changes,sum_harmful_changes,sum_modified_pair_count,sum_evidence_item_count,micro_precision,micro_recall,micro_f1,micro_tp_preservation,micro_fp_removal,micro_modification_precision,micro_fp_removed_per_evidence_item,micro_delta_f1_vs_b0,micro_delta_f1_vs_b1,micro_delta_f1_per_evidence_item
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,B0_ORIGINAL,605,121,0,7365,1100,1015,7365,1100,1015,7365,0,0,1100,0,0,8465,0,0,0,0,0,1665,0.8700531600708801,0.8788782816229117,0.8744434550311665,1.0,0.0,,0.0,0.0,-0.012531916799988996,0.0
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,B1_LOCAL_HARD,605,121,0,7365,862,1015,7365,1100,1015,7365,0,238,862,0,0,8227,238,0,238,0,238,1665,0.8952230460678254,0.8788782816229117,0.8869753718311555,1.0,0.21636363636363637,1.0,0.14294294294294294,0.012531916799988996,0.0,7.526676756750148e-06
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,B2_GLOBAL_REFOLD,605,121,0,7513,736,867,7365,1100,1015,7300,65,560,540,213,196,7840,625,409,773,261,1034,1665,0.9107770638865317,0.8965393794749403,0.9036021408382946,0.991174473862865,0.509090909090909,0.7475822050290135,0.33633633633633636,0.029158685807128104,0.01662676900713911,1.7512724208485347e-05
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,B0_ORIGINAL,605,121,0,7365,1100,1015,7365,1100,1015,7365,0,0,1100,0,0,8465,0,0,0,0,0,4365,0.8700531600708801,0.8788782816229117,0.8744434550311665,1.0,0.0,,0.0,0.0,-0.028683460971285935,0.0
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,B1_LOCAL_HARD,605,121,0,7365,565,1015,7365,1100,1015,7365,0,535,565,0,0,7930,535,0,535,0,535,4365,0.9287515762925599,0.8788782816229117,0.9031269160024524,1.0,0.4863636363636364,1.0,0.12256586483390607,0.028683460971285935,0.0,6.5712396268696295e-06
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,B2_GLOBAL_REFOLD,605,121,0,7611,367,769,7365,1100,1015,7309,56,880,220,302,147,7529,936,449,1182,203,1385,4365,0.953998495863625,0.9082338902147972,0.9305538574397848,0.9923964697895451,0.8,0.8534296028880867,0.2016036655211913,0.05611040240861831,0.027426941437332375,1.2854616817552878e-05
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,0,B0_ORIGINAL,605,121,0,7305,2160,1075,7305,2160,1075,7305,0,0,2160,0,0,9465,0,0,0,0,0,0,0.7717908082408875,0.8717183770883055,0.8187167273746148,1.0,0.0,,,0.0,0.0,
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,0,B1_LOCAL_HARD,605,121,0,7305,2160,1075,7305,2160,1075,7305,0,0,2160,0,0,9465,0,0,0,0,0,0,0.7717908082408875,0.8717183770883055,0.8187167273746148,1.0,0.0,,,0.0,0.0,
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,0,B2_GLOBAL_REFOLD,605,121,0,7365,1100,1015,7305,2160,1075,6895,410,1995,165,470,935,7060,2405,1405,2465,1345,3810,0,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.9438740588637919,0.9236111111111112,0.6469816272965879,,0.05572672765655173,0.05572672765655173,
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,1,B0_ORIGINAL,605,121,0,7305,2160,1075,7305,2160,1075,7305,0,0,2160,0,0,9465,0,0,0,0,0,605,0.7717908082408875,0.8717183770883055,0.8187167273746148,1.0,0.0,,0.0,0.0,-0.007250588849342154,0.0
