variant,mode,source_model,metric,n_runs,mean,std_population,median,fold_mean_min,fold_mean_max,n_folds_with_deployable_runs
LOMO_HOLDOUT_TRROSETTARNA2,LEARNED_UNGATED,trrosettarna2_native_ss,micro_delta_f1,25,-0.021158352162414466,0.03177053705678144,-0.027983497525160383,-0.05290930976241572,0.02930203985269799,5
LOMO_HOLDOUT_TRROSETTARNA2,LEARNED_UNGATED,trrosettarna2_native_ss,modified_rna_count,25,22.6,0.938083151964686,23.0,21.4,23.4,5
LOMO_HOLDOUT_TRROSETTARNA2,LEARNED_SELECTIVE,pooled,modification_precision,17,0.9078198019166548,0.07723597919002491,0.9047619047619048,0.7722163660030507,0.9722222222222222,4
LOMO_HOLDOUT_TRROSETTARNA2,LEARNED_SELECTIVE,pooled,delete_recall,17,0.4898677614290328,0.08894537477832973,0.49411764705882355,0.3576158940397351,0.5859154929577465,4
LOMO_HOLDOUT_TRROSETTARNA2,LEARNED_SELECTIVE,pooled,correct_pair_preservation,17,0.9832146012077606,0.0178274683710058,0.9862542955326461,0.9516908212560388,0.9965635738831615,4
LOMO_HOLDOUT_TRROSETTARNA2,LEARNED_SELECTIVE,pooled,macro_delta_f1,17,0.03381934426763254,0.016317011854879496,0.04200596195203161,0.005098071948310203,0.04934526453875208,4
LOMO_HOLDOUT_TRROSETTARNA2,LEARNED_SELECTIVE,pooled,micro_delta_f1,17,0.042202993431945675,0.011616987939904934,0.04672358752526484,0.019919100336044382,0.04891842785186569,4
LOMO_HOLDOUT_TRROSETTARNA2,LEARNED_SELECTIVE,pooled,modified_rna_count,17,18.11764705882353,1.2779741754353195,18.0,17.4,19.75,4
LOMO_HOLDOUT_TRROSETTARNA2,LEARNED_SELECTIVE,trrosettarna2_native_ss,modification_precision,17,0.9078198019166548,0.07723597919002491,0.9047619047619048,0.7722163660030507,0.9722222222222222,4
LOMO_HOLDOUT_TRROSETTARNA2,LEARNED_SELECTIVE,trrosettarna2_native_ss,delete_recall,17,0.4898677614290328,0.08894537477832973,0.49411764705882355,0.3576158940397351,0.5859154929577465,4
LOMO_HOLDOUT_TRROSETTARNA2,LEARNED_SELECTIVE,trrosettarna2_native_ss,correct_pair_preservation,17,0.9832146012077606,0.0178274683710058,0.9862542955326461,0.9516908212560388,0.9965635738831615,4
LOMO_HOLDOUT_TRROSETTARNA2,LEARNED_SELECTIVE,trrosettarna2_native_ss,macro_delta_f1,17,0.03381934426763254,0.016317011854879496,0.04200596195203161,0.005098071948310203,0.04934526453875208,4
LOMO_HOLDOUT_TRROSETTARNA2,LEARNED_SELECTIVE,trrosettarna2_native_ss,micro_delta_f1,17,0.042202993431945675,0.011616987939904934,0.04672358752526484,0.019919100336044382,0.04891842785186569,4
LOMO_HOLDOUT_TRROSETTARNA2,LEARNED_SELECTIVE,trrosettarna2_native_ss,modified_rna_count,17,18.11764705882353,1.2779741754353195,18.0,17.4,19.75,4
MODEL_SPECIFIC_PETFOLD,LEARNED_UNGATED,pooled,modification_precision,25,0.3129644302747287,0.07334991047910928,0.2911392405063291,0.21824485199485197,0.42937382464239837,5
MODEL_SPECIFIC_PETFOLD,LEARNED_UNGATED,pooled,delete_recall,25,0.6059702694260317,0.10525059933070058,0.5833333333333334,0.5473684210526316,0.7941747572815534,5
MODEL_SPECIFIC_PETFOLD,LEARNED_UNGATED,pooled,correct_pair_preservation,25,0.7927785363695805,0.07880756417528631,0.800711743772242,0.6873563218390805,0.8992957746478873,5
MODEL_SPECIFIC_PETFOLD,LEARNED_UNGATED,pooled,macro_delta_f1,25,-0.06957751361868193,0.027137136214777452,-0.06742174059077906,-0.11347560529690195,-0.03822926345054618,5
MODEL_SPECIFIC_PETFOLD,LEARNED_UNGATED,pooled,micro_delta_f1,25,-0.07632869736106876,0.03291884829217171,-0.07516385522532276,-0.12276170112035308,-0.036684727442128404,5
MODEL_SPECIFIC_PETFOLD,LEARNED_UNGATED,pooled,modified_rna_count,25,19.4,3.1622776601683795,18.0,15.8,23.8,5
MODEL_SPECIFIC_PETFOLD,LEARNED_UNGATED,petfold,modification_precision,25,0.3129644302747287,0.07334991047910928,0.2911392405063291,0.21824485199485197,0.42937382464239837,5
MODEL_SPECIFIC_PETFOLD,LEARNED_UNGATED,petfold,delete_recall,25,0.6059702694260317,0.10525059933070058,0.5833333333333334,0.5473684210526316,0.7941747572815534,5
MODEL_SPECIFIC_PETFOLD,LEARNED_UNGATED,petfold,correct_pair_preservation,25,0.7927785363695805,0.07880756417528631,0.800711743772242,0.6873563218390805,0.8992957746478873,5
MODEL_SPECIFIC_PETFOLD,LEARNED_UNGATED,petfold,macro_delta_f1,25,-0.06957751361868193,0.027137136214777452,-0.06742174059077906,-0.11347560529690195,-0.03822926345054618,5
MODEL_SPECIFIC_PETFOLD,LEARNED_UNGATED,petfold,micro_delta_f1,25,-0.07632869736106876,0.03291884829217171,-0.07516385522532276,-0.12276170112035308,-0.036684727442128404,5
MODEL_SPECIFIC_PETFOLD,LEARNED_UNGATED,petfold,modified_rna_count,25,19.4,3.1622776601683795,18.0,15.8,23.8,5
MODEL_SPECIFIC_PETFOLD,LEARNED_SELECTIVE,pooled,modification_precision,14,0.4835919162986832,0.2320404277908452,0.4365079365079365,0.37555555555555553,0.75,3
MODEL_SPECIFIC_PETFOLD,LEARNED_SELECTIVE,pooled,delete_recall,14,0.12930191331988508,0.06061995954214962,0.13240418118466898,0.07317073170731707,0.16666666666666666,3
MODEL_SPECIFIC_PETFOLD,LEARNED_SELECTIVE,pooled,correct_pair_preservation,14,0.9795130839573654,0.01643143168391163,0.9848408633619901,0.9616883116883116,0.9955516014234875,3
MODEL_SPECIFIC_PETFOLD,LEARNED_SELECTIVE,pooled,macro_delta_f1,14,-0.0016503602371587608,0.002890075563358357,-0.001512939483868605,-0.00282616798616331,0.001023114869314325,3
MODEL_SPECIFIC_PETFOLD,LEARNED_SELECTIVE,pooled,micro_delta_f1,14,-0.004336837212280541,0.0060342679348147936,-0.003396103571887743,-0.0100120512645125,0.0021015670216399107,3
