variant,fold,seed,mode,source_model,threshold,macro_delta_f1,micro_delta_f1,modification_precision,delete_recall,correct_pair_preservation,modified_pair_count,modified_rna_count,beneficial_edit_count,harmful_edit_count
LOMO_HOLDOUT_PETFOLD,4,29,LEARNED_SELECTIVE,petfold,0.95,0.003160225442834142,0.004309287204024015,1.0,0.07317073170731707,1.0,3,2,3,0
LOMO_HOLDOUT_PETFOLD,4,41,LEARNED_UNGATED,pooled,0.5,-0.025879860580334018,-0.022411185759972252,0.4166666666666667,0.4878048780487805,0.900355871886121,48,14,20,28
LOMO_HOLDOUT_PETFOLD,4,41,LEARNED_UNGATED,petfold,0.5,-0.025879860580334018,-0.022411185759972252,0.4166666666666667,0.4878048780487805,0.900355871886121,48,14,20,28
LOMO_HOLDOUT_PETFOLD,4,41,LEARNED_SELECTIVE,pooled,0.95,0.0036778237865194435,0.005754938930574549,1.0,0.0975609756097561,1.0,4,3,4,0
LOMO_HOLDOUT_PETFOLD,4,41,LEARNED_SELECTIVE,petfold,0.95,0.0036778237865194435,0.005754938930574549,1.0,0.0975609756097561,1.0,4,3,4,0
LOMO_HOLDOUT_PETFOLD,4,53,LEARNED_UNGATED,pooled,0.5,-0.015253504932868473,-0.01387858681860299,0.45,0.43902439024390244,0.9217081850533808,40,13,18,22
LOMO_HOLDOUT_PETFOLD,4,53,LEARNED_UNGATED,petfold,0.5,-0.015253504932868473,-0.01387858681860299,0.45,0.43902439024390244,0.9217081850533808,40,13,18,22
LOMO_HOLDOUT_PETFOLD,4,53,LEARNED_SELECTIVE,pooled,0.95,0.0036778237865194435,0.005754938930574549,1.0,0.0975609756097561,1.0,4,3,4,0
LOMO_HOLDOUT_PETFOLD,4,53,LEARNED_SELECTIVE,petfold,0.95,0.0036778237865194435,0.005754938930574549,1.0,0.0975609756097561,1.0,4,3,4,0
LOMO_HOLDOUT_PETFOLD,4,67,LEARNED_UNGATED,pooled,0.5,-0.013128988363853733,-0.009316561371234378,0.47058823529411764,0.3902439024390244,0.9359430604982206,34,11,16,18
LOMO_HOLDOUT_PETFOLD,4,67,LEARNED_UNGATED,petfold,0.5,-0.013128988363853733,-0.009316561371234378,0.47058823529411764,0.3902439024390244,0.9359430604982206,34,11,16,18
LOMO_HOLDOUT_PETFOLD,4,67,LEARNED_SELECTIVE,pooled,0.95,0.003160225442834142,0.004309287204024015,1.0,0.07317073170731707,1.0,3,2,3,0
LOMO_HOLDOUT_PETFOLD,4,67,LEARNED_SELECTIVE,petfold,0.95,0.003160225442834142,0.004309287204024015,1.0,0.07317073170731707,1.0,3,2,3,0
LOMO_HOLDOUT_RNAFOLD,0,17,LEARNED_UNGATED,pooled,0.5,-0.057804732742822745,-0.0895174790743476,0.19480519480519481,0.4166666666666667,0.7993527508090615,77,18,15,62
LOMO_HOLDOUT_RNAFOLD,0,17,LEARNED_UNGATED,rnafold,0.5,-0.057804732742822745,-0.0895174790743476,0.19480519480519481,0.4166666666666667,0.7993527508090615,77,18,15,62
LOMO_HOLDOUT_RNAFOLD,0,17,LEARNED_SELECTIVE,pooled,0.95,-0.0004649122807017569,-0.0016082088573851072,0.0,0.0,0.9967637540453075,1,1,0,1
LOMO_HOLDOUT_RNAFOLD,0,17,LEARNED_SELECTIVE,rnafold,0.95,-0.0004649122807017569,-0.0016082088573851072,0.0,0.0,0.9967637540453075,1,1,0,1
LOMO_HOLDOUT_RNAFOLD,0,29,LEARNED_UNGATED,pooled,0.5,-0.06452464436409415,-0.0966619422559103,0.20238095238095238,0.4722222222222222,0.7831715210355987,84,17,17,67
LOMO_HOLDOUT_RNAFOLD,0,29,LEARNED_UNGATED,rnafold,0.5,-0.06452464436409415,-0.0966619422559103,0.20238095238095238,0.4722222222222222,0.7831715210355987,84,17,17,67
LOMO_HOLDOUT_RNAFOLD,0,29,LEARNED_SELECTIVE,pooled,0.95,-0.0004649122807017569,-0.0016082088573851072,0.0,0.0,0.9967637540453075,1,1,0,1
LOMO_HOLDOUT_RNAFOLD,0,29,LEARNED_SELECTIVE,rnafold,0.95,-0.0004649122807017569,-0.0016082088573851072,0.0,0.0,0.9967637540453075,1,1,0,1
LOMO_HOLDOUT_RNAFOLD,0,41,LEARNED_UNGATED,pooled,0.5,-0.07319509154606431,-0.10946098189920639,0.1724137931034483,0.4166666666666667,0.7669902912621359,87,18,15,72
LOMO_HOLDOUT_RNAFOLD,0,41,LEARNED_UNGATED,rnafold,0.5,-0.07319509154606431,-0.10946098189920639,0.1724137931034483,0.4166666666666667,0.7669902912621359,87,18,15,72
LOMO_HOLDOUT_RNAFOLD,0,41,LEARNED_SELECTIVE,pooled,0.9,-0.0031939495287321407,-0.007303586020874331,0.3,0.08333333333333333,0.9773462783171522,10,4,3,7
LOMO_HOLDOUT_RNAFOLD,0,41,LEARNED_SELECTIVE,rnafold,0.9,-0.0031939495287321407,-0.007303586020874331,0.3,0.08333333333333333,0.9773462783171522,10,4,3,7
LOMO_HOLDOUT_RNAFOLD,0,53,LEARNED_UNGATED,pooled,0.5,-0.06485337551355487,-0.09421520508654946,0.17105263157894737,0.3611111111111111,0.7961165048543689,76,17,13,63
LOMO_HOLDOUT_RNAFOLD,0,53,LEARNED_UNGATED,rnafold,0.5,-0.06485337551355487,-0.09421520508654946,0.17105263157894737,0.3611111111111111,0.7961165048543689,76,17,13,63
LOMO_HOLDOUT_RNAFOLD,0,53,LEARNED_SELECTIVE,pooled,0.95,-8.865248226950672e-05,-0.00025821981508833414,0.5,0.027777777777777776,0.9967637540453075,2,1,1,1
LOMO_HOLDOUT_RNAFOLD,0,53,LEARNED_SELECTIVE,rnafold,0.95,-8.865248226950672e-05,-0.00025821981508833414,0.5,0.027777777777777776,0.9967637540453075,2,1,1,1
LOMO_HOLDOUT_RNAFOLD,0,67,LEARNED_UNGATED,pooled,0.5,-0.06300608915236144,-0.09482076232420855,0.1794871794871795,0.3888888888888889,0.7928802588996764,78,17,14,64
LOMO_HOLDOUT_RNAFOLD,0,67,LEARNED_UNGATED,rnafold,0.5,-0.06300608915236144,-0.09482076232420855,0.1794871794871795,0.3888888888888889,0.7928802588996764,78,17,14,64
LOMO_HOLDOUT_RNAFOLD,0,67,LEARNED_SELECTIVE,pooled,0.9,-0.0027347694930815168,-0.007021215995124952,0.25,0.05555555555555555,0.9805825242718447,8,3,2,6
LOMO_HOLDOUT_RNAFOLD,0,67,LEARNED_SELECTIVE,rnafold,0.9,-0.0027347694930815168,-0.007021215995124952,0.25,0.05555555555555555,0.9805825242718447,8,3,2,6
LOMO_HOLDOUT_RNAFOLD,1,17,LEARNED_UNGATED,pooled,0.5,-0.02938959452958645,-0.025139244317326503,0.37142857142857144,0.3939393939393939,0.9094650205761317,35,18,13,22
LOMO_HOLDOUT_RNAFOLD,1,17,LEARNED_UNGATED,rnafold,0.5,-0.02938959452958645,-0.025139244317326503,0.37142857142857144,0.3939393939393939,0.9094650205761317,35,18,13,22
LOMO_HOLDOUT_RNAFOLD,1,29,LEARNED_UNGATED,pooled,0.5,-0.030606328350809436,-0.0267435534762267,0.3902439024390244,0.48484848484848486,0.897119341563786,41,19,16,25
LOMO_HOLDOUT_RNAFOLD,1,29,LEARNED_UNGATED,rnafold,0.5,-0.030606328350809436,-0.0267435534762267,0.3902439024390244,0.48484848484848486,0.897119341563786,41,19,16,25
LOMO_HOLDOUT_RNAFOLD,1,41,LEARNED_UNGATED,pooled,0.5,-0.026952114402702832,-0.028998778998778896,0.38095238095238093,0.48484848484848486,0.8930041152263375,42,18,16,26
LOMO_HOLDOUT_RNAFOLD,1,41,LEARNED_UNGATED,rnafold,0.5,-0.026952114402702832,-0.028998778998778896,0.38095238095238093,0.48484848484848486,0.8930041152263375,42,18,16,26
LOMO_HOLDOUT_RNAFOLD,1,53,LEARNED_UNGATED,pooled,0.5,-0.033292037133854306,-0.030734890109890056,0.3235294117647059,0.3333333333333333,0.9053497942386831,34,20,11,23
LOMO_HOLDOUT_RNAFOLD,1,53,LEARNED_UNGATED,rnafold,0.5,-0.033292037133854306,-0.030734890109890056,0.3235294117647059,0.3333333333333333,0.9053497942386831,34,20,11,23
LOMO_HOLDOUT_RNAFOLD,1,67,LEARNED_UNGATED,pooled,0.5,-0.02419258601407948,-0.024497241888546184,0.4,0.48484848484848486,0.9012345679012346,40,18,16,24
LOMO_HOLDOUT_RNAFOLD,1,67,LEARNED_UNGATED,rnafold,0.5,-0.02419258601407948,-0.024497241888546184,0.4,0.48484848484848486,0.9012345679012346,40,18,16,24
LOMO_HOLDOUT_RNAFOLD,2,17,LEARNED_UNGATED,pooled,0.5,-0.06704158531005289,-0.05822167388747024,0.4583333333333333,0.673469387755102,0.7784090909090909,144,18,66,78
LOMO_HOLDOUT_RNAFOLD,2,17,LEARNED_UNGATED,rnafold,0.5,-0.06704158531005289,-0.05822167388747024,0.4583333333333333,0.673469387755102,0.7784090909090909,144,18,66,78
LOMO_HOLDOUT_RNAFOLD,2,29,LEARNED_UNGATED,pooled,0.5,-0.07394494508217873,-0.06743401526010229,0.44370860927152317,0.6836734693877551,0.7613636363636364,151,19,67,84
LOMO_HOLDOUT_RNAFOLD,2,29,LEARNED_UNGATED,rnafold,0.5,-0.07394494508217873,-0.06743401526010229,0.44370860927152317,0.6836734693877551,0.7613636363636364,151,19,67,84
LOMO_HOLDOUT_RNAFOLD,2,41,LEARNED_UNGATED,pooled,0.5,-0.06953468728595386,-0.06234028438752848,0.4527027027027027,0.6836734693877551,0.7698863636363636,148,18,67,81
LOMO_HOLDOUT_RNAFOLD,2,41,LEARNED_UNGATED,rnafold,0.5,-0.06953468728595386,-0.06234028438752848,0.4527027027027027,0.6836734693877551,0.7698863636363636,148,18,67,81
LOMO_HOLDOUT_RNAFOLD,2,53,LEARNED_UNGATED,pooled,0.5,-0.07192981439415476,-0.06292624152597737,0.45751633986928103,0.7142857142857143,0.7642045454545454,153,19,70,83
