manifest_id,manifest_payload_sha256,rna_id,channel,density_percent,evidence_seed,item_count,sequence_length,crossing_status,minimum_loop_status,crossing_flag,minimum_loop_flag,minimum_pair_separation,validity_status,eligibility_status,reason
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_05__seed_109__noise_00,c5becf494a443e387716f8401b1611d68369a5bf36e35e60f3124ab01b25ff76,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,109,1,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_05__seed_113__noise_00,0954e5fa4a90c079add07699bbbd883cd7ea24b3c031155f83ed89e612c7a9f8,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,113,1,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_10__seed_101__noise_00,7fc6cb27caf299af9bf75869392179e6cebd888c2b5a406a07de6426e9680e37,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,101,1,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_10__seed_103__noise_00,8a3af1396d4f09b17b642d5819d3e6abc458293ec79b3858ebda0574be51db42,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,103,1,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_10__seed_107__noise_00,ff5faea9c8297c351915e21775f3ba7eac3417227098e2fe9c520172ae140377,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,107,1,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_10__seed_109__noise_00,1c42216047bbbe7daae5bff57d781c558dcf0844c56631111be1f7b0526d238c,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,109,1,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_10__seed_113__noise_00,e40cab2c6efdcc45ee30532be38a0bdafd358a148c442c4b20e3a3f0bacf1c3e,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,113,1,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_20__seed_101__noise_00,40d145b54c473b1228e608b7a456bdbe19219159283f6800389f1561b204c4fb,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,101,1,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_20__seed_103__noise_00,0def466033fe3db293b23d9fe046357ad10e6217970a5341f471b9bb76f8703a,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,103,1,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_20__seed_107__noise_00,0c4890f7c92dc050ceaee476b89e091e9eb2f6133228810235033710d2968242,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,107,1,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
