condition,scope,source_model,fold,seed,deployable,macro_delta_f1,micro_delta_f1,modification_precision,delete_recall,correct_pair_preservation,modified_pair_count,modified_rna_count,eligible_rna_count,beneficial_edit_count,harmful_edit_count,original_tp_count,original_fp_count,original_fn_count,tp_after_count,fp_after_count,fn_after_count
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,petfold,2,29,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,348,103,112,348,103,112
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,2,29,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,345,151,115,345,151,115
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,2,41,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,352,98,108,352,98,108
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,petfold,2,41,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,348,103,112,348,103,112
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,2,41,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,345,151,115,345,151,115
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,2,53,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,352,98,108,352,98,108
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,petfold,2,53,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,348,103,112,348,103,112
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,2,53,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,345,151,115,345,151,115
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,2,67,True,0.0053329365167547995,0.02684310994170147,0.8103448275862069,0.47959183673469385,0.96875,58,7,24,47,11,352,98,108,341,51,119
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,petfold,2,67,True,0.009260199361389007,0.031326028206263845,0.8571428571428571,0.46601941747572817,0.9770114942528736,56,8,24,48,8,348,103,112,340,55,120
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,2,67,True,0.06745685010506401,0.08852419557212587,0.8992805755395683,0.8278145695364238,0.9594202898550724,139,21,24,125,14,345,151,115,331,26,129
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,3,17,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,287,15,22,287,15,22
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,petfold,3,17,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,284,19,25,284,19,25
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,3,17,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,263,85,46,263,85,46
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,3,29,True,0.0,0.0,,0.0,1.0,0,0,24,0,0,287,15,22,287,15,22
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,petfold,3,29,True,0.001992394179894182,0.003042965820207799,1.0,0.10526315789473684,1.0,2,2,24,2,0,284,19,25,284,17,25
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,3,29,True,0.04166074593667545,0.07169631295576917,1.0,0.6352941176470588,1.0,54,17,24,54,0,263,85,46,263,31,46
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,3,41,True,0.002901321044852042,0.006011010266329442,0.8333333333333334,0.3333333333333333,0.9965156794425087,6,3,24,5,1,287,15,22,286,10,23
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,petfold,3,41,True,0.004736092032848836,0.008772501248561437,0.8,0.42105263157894735,0.9929577464788732,10,4,24,8,2,284,19,25,282,11,27
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,3,41,True,0.05540215419376159,0.08714627403472808,0.9710144927536232,0.788235294117647,0.9923954372623575,69,21,24,67,2,263,85,46,261,18,48
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,3,53,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,287,15,22,287,15,22
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,petfold,3,53,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,284,19,25,284,19,25
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,3,53,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,263,85,46,263,85,46
