condition,fold,seed,delete_precision,delete_recall,delete_f1,tp,fp,fn
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,2,67,0.7339246119733924,0.9403409090909091,0.8244084682440846,331,120,21
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,3,17,0.603448275862069,0.8823529411764706,0.7167235494880546,105,69,14
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,3,29,0.6022727272727273,0.8907563025210085,0.7186440677966102,106,70,13
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,3,41,0.6162790697674418,0.8907563025210085,0.7285223367697594,106,66,13
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,3,53,0.65625,0.8823529411764706,0.7526881720430108,105,55,14
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,3,67,0.601123595505618,0.8991596638655462,0.7205387205387206,107,71,12
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,4,17,0.6842105263157895,0.8609271523178808,0.7624633431085044,130,60,21
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,4,29,0.6758241758241759,0.8145695364238411,0.7387387387387387,123,59,28
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,4,41,0.6702127659574468,0.8344370860927153,0.7433628318584071,126,62,25
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,4,53,0.6923076923076923,0.8344370860927153,0.7567567567567568,126,56,25
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,4,67,0.6842105263157895,0.8609271523178808,0.7624633431085044,130,60,21
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,0,17,0.33444816053511706,0.6711409395973155,0.44642857142857145,100,199,49
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,0,29,0.34551495016611294,0.697986577181208,0.4622222222222222,104,197,45
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,0,41,0.3215434083601286,0.6711409395973155,0.43478260869565216,100,211,49
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,0,53,0.33,0.6644295302013423,0.44097995545657015,99,201,50
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,0,67,0.32786885245901637,0.6711409395973155,0.44052863436123346,100,205,49
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,1,17,0.45930232558139533,0.6475409836065574,0.5374149659863946,79,93,43
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,1,29,0.4573170731707317,0.6147540983606558,0.5244755244755245,75,89,47
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,1,41,0.4878048780487805,0.6557377049180327,0.5594405594405595,80,84,42
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,1,53,0.46060606060606063,0.6229508196721312,0.5296167247386759,76,89,46
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,1,67,0.4659090909090909,0.6721311475409836,0.5503355704697986,82,94,40
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,2,17,0.5406427221172023,0.8125,0.6492622020431328,286,243,66
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,2,29,0.5728952772073922,0.7926136363636364,0.66507747318236,279,208,73
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,2,41,0.5516569200779727,0.8039772727272727,0.6543352601156069,283,230,69
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,2,53,0.5473887814313346,0.8039772727272727,0.6513233601841196,283,234,69
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,2,67,0.5481927710843374,0.7755681818181818,0.6423529411764706,273,225,79
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,3,17,0.5732484076433121,0.7563025210084033,0.6521739130434783,90,67,29
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,3,29,0.5897435897435898,0.773109243697479,0.6690909090909091,92,64,27
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,3,41,0.5428571428571428,0.7983193277310925,0.6462585034013606,95,80,24
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,3,53,0.5207100591715976,0.7394957983193278,0.6111111111111112,88,81,31
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,3,67,0.5269461077844312,0.7394957983193278,0.6153846153846154,88,79,31
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,4,17,0.5397727272727273,0.6291390728476821,0.581039755351682,95,81,56
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,4,29,0.521978021978022,0.6291390728476821,0.5705705705705706,95,87,56
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,4,41,0.484375,0.6158940397350994,0.5422740524781341,93,99,58
