condition,evidence_channel,density_percent,evidence_seed,source_model,rna_count,actual_evidence_item_count,sum_tp,sum_fp,sum_fn,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,macro_delta_precision,macro_delta_recall,macro_delta_f1,micro_delta_precision,micro_delta_recall,micro_delta_f1,beneficial_edits,harmful_edits,modified_pair_count,modification_precision,correct_pair_preservation,modified_rna_count,modified_rna_fraction,evidence_compliant_before_count,evidence_compliant_after_count,evidence_compliance_before,evidence_compliance_after,direct_recovery_count,directly_inserted_pair_count,local_conflicting_pairs_before,local_conflicting_pairs_removed,local_conflict_correction_rate,non_evidenced_changed_pair_count
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,101,petfold,121,180,1463,241,213,0.8952556023530504,0.9077787598919441,0.8968492212485739,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,165,165,0.9166666666666666,0.9166666666666666,0,0,15,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,101,rnafold,121,180,1473,220,203,0.9069374161618192,0.9138670306547281,0.9058176119079561,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,165,165,0.9166666666666666,0.9166666666666666,0,0,14,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,101,trrosettarna2_native_ss,121,180,1461,432,215,0.7905636556834104,0.9120849106151278,0.8428713642132949,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,161,161,0.8944444444444445,0.8944444444444445,0,0,29,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,103,petfold,121,180,1463,241,213,0.8952556023530504,0.9077787598919441,0.8968492212485739,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,160,160,0.8888888888888888,0.8888888888888888,0,0,14,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,103,rnafold,121,180,1473,220,203,0.9069374161618192,0.9138670306547281,0.9058176119079561,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,162,162,0.9,0.9,0,0,13,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,103,trrosettarna2_native_ss,121,180,1461,432,215,0.7905636556834104,0.9120849106151278,0.8428713642132949,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,157,157,0.8722222222222222,0.8722222222222222,0,0,29,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,107,petfold,121,180,1463,241,213,0.8952556023530504,0.9077787598919441,0.8968492212485739,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,158,158,0.8777777777777778,0.8777777777777778,0,0,17,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,107,rnafold,121,180,1473,220,203,0.9069374161618192,0.9138670306547281,0.9058176119079561,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,159,159,0.8833333333333333,0.8833333333333333,0,0,15,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,107,trrosettarna2_native_ss,121,180,1461,432,215,0.7905636556834104,0.9120849106151278,0.8428713642132949,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,157,157,0.8722222222222222,0.8722222222222222,0,0,29,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,109,petfold,121,180,1463,241,213,0.8952556023530504,0.9077787598919441,0.8968492212485739,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,153,153,0.85,0.85,0,0,20,0,0.0,0
