condition,evidence_channel,density_percent,evidence_seed,source_model,actual_evidence_item_count,evidence_compliant_before_count,evidence_compliant_after_count,evidence_compliance_before,evidence_compliance_after,direct_recovery_count,directly_inserted_pair_count,local_conflicting_pairs_before,local_conflicting_pairs_removed,local_conflict_correction_rate
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,101,trrosettarna2_native_ss,121,86,86,0.7107438016528925,0.7107438016528925,0,0,35,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,103,petfold,121,105,105,0.8677685950413223,0.8677685950413223,0,0,16,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,103,rnafold,121,107,107,0.8842975206611571,0.8842975206611571,0,0,14,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,103,trrosettarna2_native_ss,121,87,87,0.71900826446281,0.71900826446281,0,0,34,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,107,petfold,121,106,106,0.8760330578512396,0.8760330578512396,0,0,15,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,107,rnafold,121,112,112,0.9256198347107438,0.9256198347107438,0,0,9,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,107,trrosettarna2_native_ss,121,78,78,0.6446280991735537,0.6446280991735537,0,0,43,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,109,petfold,121,100,100,0.8264462809917356,0.8264462809917356,0,0,21,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,109,rnafold,121,102,102,0.8429752066115702,0.8429752066115702,0,0,19,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,109,trrosettarna2_native_ss,121,76,76,0.628099173553719,0.628099173553719,0,0,45,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,113,petfold,121,103,103,0.8512396694214877,0.8512396694214877,0,0,18,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,113,rnafold,121,106,106,0.8760330578512396,0.8760330578512396,0,0,15,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,113,trrosettarna2_native_ss,121,77,77,0.6363636363636364,0.6363636363636364,0,0,44,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,101,petfold,134,112,112,0.835820895522388,0.835820895522388,0,0,21,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,101,rnafold,134,116,116,0.8656716417910447,0.8656716417910447,0,0,18,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,101,trrosettarna2_native_ss,134,90,90,0.6716417910447762,0.6716417910447762,0,0,43,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,103,petfold,134,113,113,0.8432835820895522,0.8432835820895522,0,0,21,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,103,rnafold,134,118,118,0.8805970149253731,0.8805970149253731,0,0,16,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,103,trrosettarna2_native_ss,134,96,96,0.7164179104477612,0.7164179104477612,0,0,38,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,107,petfold,134,111,111,0.8283582089552238,0.8283582089552238,0,0,22,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,107,rnafold,134,114,114,0.8507462686567164,0.8507462686567164,0,0,19,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,107,trrosettarna2_native_ss,134,84,84,0.6268656716417911,0.6268656716417911,0,0,50,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,109,petfold,134,116,116,0.8656716417910447,0.8656716417910447,0,0,18,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,109,rnafold,134,121,121,0.9029850746268657,0.9029850746268657,0,0,13,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,109,trrosettarna2_native_ss,134,91,91,0.6791044776119403,0.6791044776119403,0,0,43,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,113,petfold,134,110,110,0.8208955223880597,0.8208955223880597,0,0,24,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,113,rnafold,134,117,117,0.8731343283582089,0.8731343283582089,0,0,17,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,113,trrosettarna2_native_ss,134,93,93,0.6940298507462687,0.6940298507462687,0,0,41,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,101,petfold,185,157,157,0.8486486486486486,0.8486486486486486,0,0,28,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,101,rnafold,185,161,161,0.8702702702702703,0.8702702702702703,0,0,24,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,101,trrosettarna2_native_ss,185,117,117,0.6324324324324324,0.6324324324324324,0,0,67,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,103,petfold,185,157,157,0.8486486486486486,0.8486486486486486,0,0,27,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,103,rnafold,185,159,159,0.8594594594594595,0.8594594594594595,0,0,25,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,103,trrosettarna2_native_ss,185,129,129,0.6972972972972973,0.6972972972972973,0,0,54,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,107,petfold,185,152,152,0.8216216216216217,0.8216216216216217,0,0,33,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,107,rnafold,185,155,155,0.8378378378378378,0.8378378378378378,0,0,30,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,107,trrosettarna2_native_ss,185,122,122,0.6594594594594595,0.6594594594594595,0,0,63,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,109,petfold,185,160,160,0.8648648648648649,0.8648648648648649,0,0,25,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,109,rnafold,185,160,160,0.8648648648648649,0.8648648648648649,0,0,25,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,109,trrosettarna2_native_ss,185,130,130,0.7027027027027027,0.7027027027027027,0,0,55,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,113,petfold,185,156,156,0.8432432432432433,0.8432432432432433,0,0,29,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,113,rnafold,185,157,157,0.8486486486486486,0.8486486486486486,0,0,28,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,113,trrosettarna2_native_ss,185,131,131,0.7081081081081081,0.7081081081081081,0,0,54,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,101,petfold,333,267,267,0.8018018018018018,0.8018018018018018,0,0,59,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,101,rnafold,333,281,281,0.8438438438438438,0.8438438438438438,0,0,47,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,101,trrosettarna2_native_ss,333,217,217,0.6516516516516516,0.6516516516516516,0,0,103,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,103,petfold,333,280,280,0.8408408408408409,0.8408408408408409,0,0,51,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,103,rnafold,333,283,283,0.8498498498498499,0.8498498498498499,0,0,48,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,103,trrosettarna2_native_ss,333,228,228,0.6846846846846847,0.6846846846846847,0,0,102,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,107,petfold,333,288,288,0.8648648648648649,0.8648648648648649,0,0,44,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,107,rnafold,333,290,290,0.8708708708708709,0.8708708708708709,0,0,42,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,107,trrosettarna2_native_ss,333,222,222,0.6666666666666666,0.6666666666666666,0,0,103,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,109,petfold,333,275,275,0.8258258258258259,0.8258258258258259,0,0,53,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,109,rnafold,333,282,282,0.8468468468468469,0.8468468468468469,0,0,47,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,109,trrosettarna2_native_ss,333,219,219,0.6576576576576577,0.6576576576576577,0,0,106,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,113,petfold,333,276,276,0.8288288288288288,0.8288288288288288,0,0,56,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,113,rnafold,333,278,278,0.8348348348348348,0.8348348348348348,0,0,54,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,113,trrosettarna2_native_ss,333,225,225,0.6756756756756757,0.6756756756756757,0,0,103,0,0.0
