density_percent,evidence_seed,source_model,rna_count,actual_evidence_item_count,directly_inserted_pair_count,full_macro_delta_f1,local_only_macro_delta_f1,direct_insertion_macro_f1_contribution,direct_fraction_of_macro_f1_gain,full_micro_delta_f1,local_only_micro_delta_f1,direct_insertion_micro_f1_contribution,direct_fraction_of_micro_f1_gain
50,101,trrosettarna2_native_ss,121,875,109,0.04890140232779294,0.00698391146127042,0.04191749086652252,0.8571838203236732,0.06404964878507036,0.028731068449051156,0.0353185803360192,0.5514250430090067
50,103,petfold,121,875,115,0.04246587634389065,0.009574259532234897,0.032891616811655755,0.7745422829685158,0.06200912098347988,0.024492937031843187,0.037516183951636695,0.6050107364307187
50,103,rnafold,121,875,113,0.041748957693323985,0.009510634548682284,0.0322383231446417,0.7721946828338875,0.06152585745039152,0.024823944236232798,0.03670191321415872,0.5965282685211105
50,103,trrosettarna2_native_ss,121,875,120,0.05026107541593805,0.007825009609534583,0.04243606580640347,0.844312730183779,0.06873766499136891,0.0299617506968346,0.03877591429453431,0.5641145113003654
50,107,petfold,121,875,111,0.04329845449406866,0.008850045100784576,0.034448409393284085,0.795603672135759,0.05559549970301636,0.019376997891586756,0.036218501811429604,0.6514646330171316
50,107,rnafold,121,875,105,0.04039656997853924,0.0081227434950637,0.03227382648347554,0.7989249211163492,0.05324613932509448,0.019096126406504155,0.03415001291859032,0.6413612958882766
50,107,trrosettarna2_native_ss,121,875,116,0.051619619391549354,0.007642946172470633,0.04397667321907872,0.8519371846875364,0.06773633614421604,0.030208316204699548,0.03752801993951649,0.5540308507330003
50,109,petfold,121,875,107,0.04242366795354713,0.009090297869293495,0.03333337008425363,0.7857257915735352,0.056492801223400946,0.02152389290981438,0.034968908313586566,0.6189975989206469
50,109,rnafold,121,875,100,0.03958901416993088,0.00861462786260958,0.0309743863073213,0.7823985253678616,0.05358014378889253,0.020997274452116188,0.03258286933677634,0.6081146303965492
50,109,trrosettarna2_native_ss,121,875,109,0.0492312891162886,0.006918828739727156,0.042312460376561445,0.8594627753219243,0.06429789579748868,0.02897691927464552,0.03532097652284316,0.5493333193062706
50,113,petfold,121,875,114,0.045639186399121345,0.00948950125859227,0.036149685140529075,0.79207558225063,0.060060647848234505,0.02287099944835469,0.037189648399879816,0.6192015859344916
50,113,rnafold,121,875,108,0.04236266058224947,0.008506136248798701,0.033856524333450766,0.7992067511368045,0.05692620623540201,0.02181453097430963,0.03511167526109238,0.616792819741019
50,113,trrosettarna2_native_ss,121,875,108,0.04815257840184417,0.006435555103754598,0.04171702329808957,0.8663507683836069,0.06348737720789854,0.02848536018699732,0.03500201702090122,0.5513224606252372
