variant,fold,seed,mode,source_model,macro_delta_f1,micro_delta_f1,modification_precision,correct_pair_preservation,modified_pair_count,modified_rna_count
MODEL_SPECIFIC_RNAFOLD,4,53,LEARNED_SELECTIVE,rnafold,0.0,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,4,53,LEARNED_SELECTIVE,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,4,53,LEARNED_SELECTIVE,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,4,67,LEARNED_UNGATED,rnafold,-0.06498233428035988,-0.07179890710382508,0.2894736842105263,0.8085106382978723,76,15
MODEL_SPECIFIC_RNAFOLD,4,67,LEARNED_UNGATED,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,4,67,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,4,67,LEARNED_SELECTIVE,rnafold,-0.000700965049556602,-0.001758974358974319,0.0,0.9964539007092199,1,1
MODEL_SPECIFIC_RNAFOLD,4,67,LEARNED_SELECTIVE,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,4,67,LEARNED_SELECTIVE,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,0,17,LEARNED_UNGATED,rnafold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,0,17,LEARNED_UNGATED,petfold,-0.08086417094430778,-0.1312959818902094,0.21428571428571427,0.7142857142857143,112,18
MODEL_SPECIFIC_PETFOLD,0,17,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,0,17,LEARNED_SELECTIVE,rnafold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,0,17,LEARNED_SELECTIVE,petfold,-0.003465646962497071,-0.014676188131002244,0.37037037037037035,0.9448051948051948,27,8
MODEL_SPECIFIC_PETFOLD,0,17,LEARNED_SELECTIVE,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,0,29,LEARNED_UNGATED,rnafold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,0,29,LEARNED_UNGATED,petfold,-0.07078008302400414,-0.11639738357466312,0.22857142857142856,0.737012987012987,105,19
MODEL_SPECIFIC_PETFOLD,0,29,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,0,29,LEARNED_SELECTIVE,rnafold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,0,29,LEARNED_SELECTIVE,petfold,-0.0027185652211793743,-0.01165954139137193,0.3333333333333333,0.961038961038961,18,7
MODEL_SPECIFIC_PETFOLD,0,29,LEARNED_SELECTIVE,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,0,41,LEARNED_UNGATED,rnafold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,0,41,LEARNED_UNGATED,petfold,-0.07792692754254825,-0.12564261906107,0.22522522522522523,0.7207792207792207,111,18
MODEL_SPECIFIC_PETFOLD,0,41,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,0,41,LEARNED_SELECTIVE,rnafold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,0,41,LEARNED_SELECTIVE,petfold,3.103686600707256e-06,-0.007613098433458587,0.42857142857142855,0.961038961038961,21,8
MODEL_SPECIFIC_PETFOLD,0,41,LEARNED_SELECTIVE,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,0,53,LEARNED_UNGATED,rnafold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,0,53,LEARNED_UNGATED,petfold,-0.06742174059077906,-0.11482990201475285,0.19791666666666666,0.75,96,17
MODEL_SPECIFIC_PETFOLD,0,53,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,0,53,LEARNED_SELECTIVE,rnafold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,0,53,LEARNED_SELECTIVE,petfold,-0.007325617978800762,-0.013331387145428919,0.3157894736842105,0.9577922077922078,19,7
MODEL_SPECIFIC_PETFOLD,0,53,LEARNED_SELECTIVE,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,0,67,LEARNED_UNGATED,rnafold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,0,67,LEARNED_UNGATED,petfold,-0.07981039287393984,-0.12564261906107,0.22522522522522523,0.7207792207792207,111,18
MODEL_SPECIFIC_PETFOLD,0,67,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,0,67,LEARNED_SELECTIVE,rnafold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,0,67,LEARNED_SELECTIVE,petfold,-0.0006241134549400495,-0.002780041221300822,0.4444444444444444,0.9837662337662337,9,5
MODEL_SPECIFIC_PETFOLD,0,67,LEARNED_SELECTIVE,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,1,17,LEARNED_UNGATED,rnafold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,1,17,LEARNED_UNGATED,petfold,-0.05186027010526719,-0.04581330484837698,0.35714285714285715,0.8512396694214877,56,23
MODEL_SPECIFIC_PETFOLD,1,17,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,1,29,LEARNED_UNGATED,rnafold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,1,29,LEARNED_UNGATED,petfold,-0.059581934644527185,-0.06408485970529765,0.3283582089552239,0.8140495867768595,67,23
MODEL_SPECIFIC_PETFOLD,1,29,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,1,41,LEARNED_UNGATED,rnafold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,1,41,LEARNED_UNGATED,petfold,-0.05686591908850721,-0.060897629245339924,0.328125,0.8223140495867769,64,22
MODEL_SPECIFIC_PETFOLD,1,41,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,1,53,LEARNED_UNGATED,rnafold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,1,53,LEARNED_UNGATED,petfold,-0.04478845663377811,-0.042807638428076444,0.3584905660377358,0.859504132231405,53,22
MODEL_SPECIFIC_PETFOLD,1,53,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,1,67,LEARNED_UNGATED,rnafold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,1,67,LEARNED_UNGATED,petfold,-0.040136124983045855,-0.039838184856213155,0.36,0.8677685950413223,50,21
MODEL_SPECIFIC_PETFOLD,1,67,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,2,17,LEARNED_UNGATED,rnafold,nan,0.0,0.0,1.0,0,0
