variant,fold,seed,mode,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,macro_delta_f1,micro_delta_f1,modified_pair_count,modified_rna_count,beneficial_edit_count,harmful_edit_count,modification_precision,delete_recall,beneficial_harmful_ratio,correct_pair_preservation
MODEL_SPECIFIC_RNAFOLD,3,17,LEARNED_UNGATED,0.9713675213675214,0.8144798200022659,0.8752904050854169,0.9692307692307692,0.8155339805825242,0.8857644991212654,-0.05291180530711342,-0.05367903606695057,42,16,7,35,0.16666666666666666,0.4666666666666667,0.2,0.8780487804878049
MODEL_SPECIFIC_RNAFOLD,3,17,LEARNED_SELECTIVE,0.9529912217412218,0.9233494936436113,0.9282022103925304,0.9503311258278145,0.9288025889967637,0.939443535188216,0.0,0.0,0,0,0,0,,0.0,,1.0
MODEL_SPECIFIC_RNAFOLD,3,29,LEARNED_UNGATED,0.9784508547008546,0.8289305392749665,0.8873521703178934,0.973384030418251,0.8284789644012945,0.8951048951048951,-0.04085004007463699,-0.04433864008332089,39,16,8,31,0.20512820512820512,0.5333333333333333,0.25806451612903225,0.89198606271777
MODEL_SPECIFIC_RNAFOLD,3,29,LEARNED_SELECTIVE,0.9527707631874298,0.9216828269769447,0.9273253356949009,0.9501661129568106,0.9255663430420712,0.9377049180327869,-0.0008768746976294169,-0.0017386171554291119,1,1,0,1,0.0,0.0,0.0,0.9965156794425087
MODEL_SPECIFIC_RNAFOLD,3,41,LEARNED_UNGATED,0.9713675213675214,0.8120288396101091,0.8735290991287085,0.9691119691119691,0.8122977346278317,0.8838028169014085,-0.05467311126382168,-0.0556407182868075,43,16,7,36,0.16279069767441862,0.4666666666666667,0.19444444444444445,0.8745644599303136
MODEL_SPECIFIC_RNAFOLD,3,41,LEARNED_SELECTIVE,0.9529912217412218,0.9233494936436113,0.9282022103925304,0.9503311258278145,0.9288025889967637,0.939443535188216,0.0,0.0,0,0,0,0,,0.0,,1.0
MODEL_SPECIFIC_RNAFOLD,3,53,LEARNED_UNGATED,0.9713675213675214,0.8217420838821768,0.8796045687199204,0.9694656488549618,0.8220064724919094,0.8896672504378283,-0.04859764167260996,-0.049776284750387645,40,16,7,33,0.175,0.4666666666666667,0.21212121212121213,0.8850174216027874
MODEL_SPECIFIC_RNAFOLD,3,53,LEARNED_SELECTIVE,0.9520763187429854,0.9170388641286474,0.9245420125990779,0.9498327759197325,0.919093851132686,0.9342105263157895,-0.003660197793452511,-0.005233008872426503,3,3,0,3,0.0,0.0,0.0,0.9895470383275261
MODEL_SPECIFIC_RNAFOLD,3,67,LEARNED_UNGATED,0.978160999628391,0.8272746543102582,0.8840653763977059,0.9731800766283525,0.8220064724919094,0.8912280701754386,-0.04413683399482454,-0.0482154650127774,41,15,8,33,0.1951219512195122,0.5333333333333333,0.24242424242424243,0.8850174216027874
MODEL_SPECIFIC_RNAFOLD,3,67,LEARNED_SELECTIVE,0.9527707631874298,0.9187066365007542,0.9257821258183577,0.95,0.9223300970873787,0.9359605911330049,-0.002420084574172629,-0.0034829440552111013,2,2,0,2,0.0,0.0,0.0,0.9930313588850174
MODEL_SPECIFIC_RNAFOLD,4,17,LEARNED_UNGATED,0.9442550505050505,0.8239051117727589,0.8701556023657613,0.9428571428571428,0.7573770491803279,0.84,-0.06056186573349448,-0.06240000000000001,75,16,24,51,0.32,0.631578947368421,0.47058823529411764,0.8191489361702128
