variant,fold,seed,mode,delete_precision,delete_recall,delete_f1,auroc,auprc,tp,fp,fn
MODEL_SPECIFIC_PETFOLD,2,53,LEARNED_UNGATED,0.4292929292929293,0.8252427184466019,0.5647840531561462,0.8091730833612321,0.5464316146677082,85,113,18
MODEL_SPECIFIC_PETFOLD,2,67,LEARNED_UNGATED,0.45054945054945056,0.7961165048543689,0.5754385964912281,0.8126325186921103,0.5187478548387364,82,100,21
MODEL_SPECIFIC_PETFOLD,3,17,LEARNED_UNGATED,0.23255813953488372,0.5263157894736842,0.3225806451612903,0.8059673832468495,0.26443042323195004,10,33,9
MODEL_SPECIFIC_PETFOLD,3,17,LEARNED_SELECTIVE,0.3,0.15789473684210525,0.20689655172413793,0.8059673832468495,0.26443042323195004,3,7,16
MODEL_SPECIFIC_PETFOLD,3,29,LEARNED_UNGATED,0.275,0.5789473684210527,0.3728813559322034,0.8219051148999259,0.393558621240058,11,29,8
MODEL_SPECIFIC_PETFOLD,3,29,LEARNED_SELECTIVE,0.6,0.15789473684210525,0.25,0.8219051148999259,0.393558621240058,3,2,16
MODEL_SPECIFIC_PETFOLD,3,41,LEARNED_UNGATED,0.2702702702702703,0.5263157894736842,0.35714285714285715,0.7752038547071906,0.23149109445878566,10,27,9
MODEL_SPECIFIC_PETFOLD,3,41,LEARNED_SELECTIVE,0.3333333333333333,0.10526315789473684,0.16,0.7752038547071906,0.23149109445878566,2,4,17
MODEL_SPECIFIC_PETFOLD,3,53,LEARNED_UNGATED,0.2727272727272727,0.47368421052631576,0.34615384615384615,0.7194217939214232,0.22875857211806563,9,24,10
MODEL_SPECIFIC_PETFOLD,3,53,LEARNED_SELECTIVE,0.2,0.05263157894736842,0.08333333333333333,0.7194217939214232,0.22875857211806563,1,4,18
MODEL_SPECIFIC_PETFOLD,3,67,LEARNED_UNGATED,0.2857142857142857,0.631578947368421,0.39344262295081966,0.8819495922905857,0.34990385823727105,12,30,7
MODEL_SPECIFIC_PETFOLD,3,67,LEARNED_SELECTIVE,0.4444444444444444,0.21052631578947367,0.2857142857142857,0.8819495922905857,0.34990385823727105,4,5,15
MODEL_SPECIFIC_PETFOLD,4,17,LEARNED_UNGATED,0.28888888888888886,0.6341463414634146,0.3969465648854962,0.7930735179237913,0.39356696371413324,26,64,15
MODEL_SPECIFIC_PETFOLD,4,17,LEARNED_SELECTIVE,0.5,0.07317073170731707,0.1276595744680851,0.7930735179237913,0.39356696371413324,3,3,38
MODEL_SPECIFIC_PETFOLD,4,29,LEARNED_UNGATED,0.3225806451612903,0.4878048780487805,0.3883495145631068,0.7726759829875879,0.4185818395814325,20,42,21
MODEL_SPECIFIC_PETFOLD,4,29,LEARNED_SELECTIVE,1.0,0.04878048780487805,0.09302325581395349,0.7726759829875879,0.4185818395814325,2,0,39
MODEL_SPECIFIC_PETFOLD,4,41,LEARNED_UNGATED,0.29069767441860467,0.6097560975609756,0.3937007874015748,0.7386511587535805,0.3160832761324113,25,61,16
MODEL_SPECIFIC_PETFOLD,4,41,LEARNED_SELECTIVE,0.5,0.04878048780487805,0.08888888888888889,0.7386511587535805,0.3160832761324113,2,2,39
MODEL_SPECIFIC_PETFOLD,4,53,LEARNED_UNGATED,0.2911392405063291,0.5609756097560976,0.38333333333333336,0.7363076121864421,0.30237736297754786,23,56,18
MODEL_SPECIFIC_PETFOLD,4,67,LEARNED_UNGATED,0.32432432432432434,0.5853658536585366,0.41739130434782606,0.8084367676416978,0.459224909218263,24,50,17
MODEL_SPECIFIC_PETFOLD,4,67,LEARNED_SELECTIVE,1.0,0.12195121951219512,0.21739130434782608,0.8084367676416978,0.459224909218263,5,0,36
MODEL_SPECIFIC_TRROSETTARNA2,0,17,LEARNED_UNGATED,0.7294117647058823,0.8732394366197183,0.7948717948717948,0.9539133535389552,0.9142871427186452,62,23,9
