condition,track,seed,event_n_events,event_positive_count,event_positive_prevalence,event_auprc,event_auroc,event_brier,event_ece,rna_rna_count,rna_positive_prevalence,rna_auprc,rna_auroc,rna_brier,rna_ece,event_context_count,event_pair_event_count,event_tp_before,event_fp_before,event_fn_before,event_tp_after,event_fp_after,event_fn_after,event_lost_tp,event_removed_fp,event_deleted_pair_count,event_tp_preservation,event_fp_removal,event_modification_precision,event_coverage,event_resulting_precision,event_resulting_recall,event_resulting_f1,event_original_precision,event_original_recall,event_original_f1,event_delta_f1,rna_lost_tp,rna_removed_fp,rna_deleted_pair_count,rna_tp_preservation,rna_fp_removal,rna_modification_precision,rna_coverage,rna_resulting_precision,rna_resulting_recall,rna_resulting_f1,rna_original_precision,rna_original_recall,rna_original_f1,rna_delta_f1,evidence_item_count,fp_removed_per_evidence_item,delta_f1_per_evidence_item,rna_balanced_fp_removed_per_evidence_item,rna_balanced_fp_removed_per_evidence_item_defined_rnas,rna_balanced_delta_f1_per_evidence_item,rna_balanced_delta_f1_per_evidence_item_defined_rnas,zero_denominator_is_na,source
ERN,positive_pair,41,54559,11513,0.21101926354955186,0.9236480546485164,0.9597199368981447,0.048384903109667345,0.04008757362965362,121,0.20943634431658956,0.9273612073293019,0.9598364382342248,0.04549849109229505,0.09806087832579577,3523,54559,43046,11513,4844,42546,2825,5344,500,8688,9188,0.9883845188867723,0.7546252062885433,0.9455811928602526,0.16840484612987774,0.9377355579555222,0.8884109417414909,0.9124071155145237,0.7889807364504481,0.8988515347671747,0.840340071645404,0.07206704386911966,500,8688,9188,0.9918894643032574,0.7906991095677077,0.9424129598730517,0.16830891131435888,0.9081944548065463,0.9052885091178257,0.9412652912021815,0.7905636556834099,0.9120849106151279,0.8792020264638676,0.06206326473831379,7360,1.1804347826086956,9.791717916999954e-06,1.6306585194966212,121,0.0012546875017880514,116,True,trrosettarna2_native_ss
ERN,unpaired,41,50790,6600,0.1299468399291199,0.6263341564325894,0.8966220573007742,0.06976401375272508,0.02332521423162134,121,0.09306258383818086,0.7164382238816708,0.8387443517129762,0.05411491450838839,0.09215657014177578,3630,50790,44190,6600,6090,43683,5354,6597,507,1246,1753,0.9885268160217243,0.18878787878787878,0.710781517398745,0.03451466824177988,0.8908171380794094,0.8687947494033413,0.8796681333507859,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.005224678319619369,507,1246,1753,0.9931448400746127,0.2277951527102651,0.8427821521197805,0.025345185677725708,0.9192983688906794,0.9085555265286887,0.9172196002278887,0.9069374161618189,0.913867030654728,0.9133660920071889,0.0038535082206996554,8230,0.1513973268529769,6.348333316669951e-07,0.10986746466363714,121,7.98517161515338e-05,120,True,rnafold
ERN,unpaired,41,51120,7230,0.1414319248826291,0.6897335768121633,0.9083480312121937,0.06915919603506916,0.024263924020129703,121,0.10474439764694968,0.7867105506256756,0.8705127704839303,0.054464071855965614,0.0924168375955505,3630,51120,43890,7230,6390,43440,5513,6840,450,1717,2167,0.9897470950102529,0.23748271092669432,0.792339640055376,0.042390453834115806,0.8873817743549935,0.863961813842482,0.8755152015962432,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.009834728223462097,450,1717,2167,0.9941897740636256,0.3127090486142211,0.886552080582504,0.031225799274540136,0.9140784894027223,0.9033581258273934,0.9119431481530835,0.8952556023530502,0.9077787598919441,0.904322964758978,0.007620183394104908,8230,0.2086269744835966,1.1949852033368284e-06,0.17286732761615375,121,0.00014348143846505747,120,True,petfold
ERN,unpaired,41,56790,12960,0.22820919175911253,0.9270667281317722,0.9618447281936663,0.04954028464658143,0.029987114644811436,121,0.20943634431658956,0.9409648927260731,0.9613897179679475,0.0440083513962552,0.09475712332529246,3630,56790,43830,12960,6450,43345,3866,6935,485,9094,9579,0.9889345197353411,0.7016975308641975,0.949368410063681,0.1686740623349181,0.9181123043358539,0.8620723945902944,0.8892102860776891,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.07049355870307439,485,9094,9579,0.994170036700209,0.7696717082170741,0.9582816007307718,0.1566075321445703,0.9049127095787092,0.9069746329092241,0.9413331576073115,0.7905636556834099,0.9120849106151279,0.8792020264638676,0.06213113114344351,8230,1.1049817739975698,8.565438481540023e-06,1.0606667515731445,121,0.0011115283877617774,116,True,trrosettarna2_native_ss
ERN,combined,41,99424,12257,0.12328009333762471,0.6270106995906879,0.8959063689912036,0.06607489468363723,0.01886017507960809,121,0.09306258383818086,0.694430846316682,0.8367391633149492,0.05514524589116889,0.09136581119650702,7153,99424,87167,12257,11003,86182,9665,11988,985,2592,3577,0.9886998520082141,0.21147099616545648,0.7246295778585407,0.0359772288381075,0.8991622064331696,0.8778853010084547,0.8883963776370112,0.8767199066623753,0.8879189161658347,0.8822838750164478,0.006112502620563398,985,2592,3577,0.9907888327881929,0.21881291689506643,0.7830333469821112,0.026755566613875195,0.9187849802564556,0.9075715309784369,0.9159617615941866,0.9069374161618189,0.913867030654728,0.9133660920071889,0.002595669586997609,15590,0.16626042334830018,3.920784233844386e-07,0.12224437655139815,121,2.4351048933245393e-05,120,True,rnafold
ERN,combined,41,100065,13485,0.13476240443711587,0.6920827686754755,0.908553784810737,0.06522870222766651,0.01877515555811674,121,0.10474439764694968,0.7688096565142779,0.8679039211683345,0.05510237178485625,0.09089625244679649,7153,100065,86580,13485,11590,85711,10035,12459,869,3450,4319,0.9899630399630399,0.25583982202447164,0.7987960175966659,0.04316194473592165,0.8951914440289934,0.8730875012733014,0.8840013201592443,0.8652375955628842,0.8819394927167159,0.8735087144046207,0.010492605754623519,869,3450,4319,0.991928144830477,0.2962624887543186,0.8556306288357153,0.032017872500241636,0.9129864941733298,0.902393521669701,0.9104813315562228,0.8952556023530502,0.9077787598919441,0.904322964758978,0.00615836679724432,15590,0.22129570237331622,6.730343652741192e-07,0.1730717115044721,121,5.1166286915188755e-05,120,True,petfold
ERN,combined,41,111349,24473,0.21978643723787372,0.9251962760632625,0.9608081309480623,0.04897416854969317,0.032138095139567044,121,0.20943634431658956,0.931602013763063,0.9601206373177339,0.04488490357968774,0.09535153533202713,7153,111349,86876,24473,11294,85891,6691,12279,985,17782,18767,0.988662001012938,0.7265966575409635,0.9475142537432728,0.16854215125416483,0.9277289321898425,0.8749210553122135,0.9005515014259352,0.7802135627621263,0.8849546704695935,0.829289945064648,0.07126155636128717,985,17782,18767,0.9931151951958441,0.7791821404308368,0.943320554041324,0.16163758316860222,0.9059933106755556,0.906158388516419,0.9412394045259088,0.7905636556834099,0.9120849106151279,0.8792020264638676,0.06203737806204128,15590,1.140602950609365,4.570978599184552e-06,1.170418671828197,121,0.0005663053231223788,116,True,trrosettarna2_native_ss
ERN,positive_pair,53,48634,5657,0.11631780236048855,0.5948092929492159,0.8923471935807211,0.0652021524550661,0.020697858267215406,121,0.09306258383818086,0.7071364795601258,0.8425688824769033,0.058403541218410494,0.09985938505218409,3523,48634,42977,5657,4913,42637,4722,5253,340,935,1275,0.9920887916792703,0.16528195156443345,0.7333333333333333,0.026216227330674014,0.900293502818894,0.8903111296721654,0.8952744910707724,0.8836821976395115,0.8974107329296304,0.8904935560067962,0.004780935063976144,340,935,1275,0.9935886988989749,0.14862175683278442,0.6728082266939899,0.017144021497391727,0.9148562593000884,0.9096759837403875,0.9149290809808246,0.9069374161618189,0.913867030654728,0.9133660920071889,0.001562988973635592,7360,0.12703804347826086,6.495835684750196e-07,0.13386144141779963,121,2.0721011797434103e-05,120,True,rnafold
ERN,positive_pair,53,48945,6255,0.12779650628256206,0.6677446846597124,0.9068575582260825,0.06398297228600226,0.01926283455466386,121,0.10474439764694968,0.7637195131585702,0.870191350146533,0.05748786409517039,0.09810687784706124,3523,48945,42690,6255,5200,42402,4984,5488,288,1271,1559,0.9932536893886156,0.20319744204636292,0.8152661962796665,0.031852078864031054,0.8948212552230617,0.885404050950094,0.8900877450774591,0.872203493717438,0.8914178325328879,0.8817059947333091,0.008381750344150007,288,1271,1559,0.994795680783524,0.20726539872002595,0.782053730539334,0.021388460987935235,0.907822919599688,0.9042130536911006,0.9088208115261096,0.8952556023530502,0.9077787598919441,0.904322964758978,0.00449784676713111,7360,0.17269021739130436,1.1388247750203815e-06,0.1788944735857404,121,7.013262291926481e-05,120,True,petfold
ERN,positive_pair,53,54559,11513,0.21101926354955186,0.9103709720988364,0.9572403822736858,0.05050100050639105,0.035605863201208655,121,0.20943634431658956,0.931829091613836,0.9607040713725142,0.0478399209841759,0.10362923070902658,3523,54559,43046,11513,4844,42452,2803,5438,594,8710,9304,0.9862008084374855,0.7565360896378007,0.9361564918314703,0.17053098480544,0.9380620925864546,0.8864481102526623,0.9115250416018036,0.7889807364504481,0.8988515347671747,0.840340071645404,0.07118496995639956,594,8710,9304,0.989435138616173,0.7882381992268018,0.919073012411235,0.17115197689593514,0.9091198073028396,0.9036432980877714,0.9407735545238293,0.7905636556834099,0.9120849106151279,0.8792020264638676,0.06157152805996141,7360,1.1834239130434783,9.671870917989071e-06,1.6264191900872043,121,0.0012374286868034727,116,True,trrosettarna2_native_ss
