condition,track,source,metric,mean,population_sd,min,max,n
ERN,positive_pair,trrosettarna2_native_ss,event_lost_tp,483.4,103.04096272842175,298.0,594.0,5
ERN,positive_pair,trrosettarna2_native_ss,event_removed_fp,8659.8,151.00251653532138,8462.0,8899.0,5
ERN,positive_pair,trrosettarna2_native_ss,rna_tp_preservation,0.9925226863956917,0.002119391759333073,0.989435138616173,0.9959657843752671,5
ERN,positive_pair,trrosettarna2_native_ss,rna_fp_removal,0.7859009548571493,0.014241082209462543,0.7586607902323853,0.8005046970432969,5
ERN,positive_pair,trrosettarna2_native_ss,rna_modification_precision,0.9395452110059498,0.01616404799704132,0.919073012411235,0.9619462177748879,5
ERN,positive_pair,trrosettarna2_native_ss,rna_coverage,0.16736481228939198,0.004380032085332718,0.15914843122053568,0.17115197689593514,5
ERN,positive_pair,trrosettarna2_native_ss,rna_delta_f1,0.06296832185108267,0.000994808316348839,0.06157152805996141,0.0640722534186119,5
ERN,positive_pair,trrosettarna2_native_ss,rna_resulting_precision,0.9093521380420292,0.0019260819712765206,0.9065055230759436,0.9116666941979843,5
ERN,positive_pair,trrosettarna2_native_ss,rna_resulting_recall,0.9056870550471487,0.0015225773067022363,0.9036432980877714,0.9082943781309002,5
ERN,positive_pair,trrosettarna2_native_ss,rna_resulting_f1,0.9421703483149505,0.0009948083163488764,0.9407735545238293,0.9432742798824797,5
ERN,unpaired,rnafold,event_auprc,0.6201405568847127,0.017761670793172434,0.5878797676131042,0.6413091209012773,5
ERN,unpaired,rnafold,event_auroc,0.894211458783353,0.0033441769575899244,0.8889796299725017,0.8979695889650064,5
ERN,unpaired,rnafold,event_brier,0.07079558508383124,0.0016987643576374374,0.06847989477284658,0.07354818595121833,5
ERN,unpaired,rnafold,event_ece,0.017082969521266783,0.0040297041781994945,0.010845041085735505,0.02332521423162134,5
ERN,unpaired,rnafold,rna_auprc,0.7241312735571709,0.009247167572174381,0.7126034836117676,0.7360232957327223,5
ERN,unpaired,rnafold,rna_auroc,0.8372422291083037,0.0057214902788484115,0.8295530442794097,0.8470021201537317,5
ERN,unpaired,rnafold,rna_brier,0.05516747679450111,0.001374310145188143,0.05352368546491382,0.056807784539692596,5
ERN,unpaired,rnafold,rna_ece,0.0944314264576644,0.0027661840526748433,0.09153022909642262,0.09790458354477452,5
ERN,unpaired,rnafold,event_tp_preservation,0.9879429735234216,0.0016543674509897285,0.9849060873500792,0.9898619597193935,5
ERN,unpaired,rnafold,event_fp_removal,0.20906060606060609,0.029348355782635737,0.1687878787878788,0.25545454545454543,5
ERN,unpaired,rnafold,event_modification_precision,0.7205279211100816,0.02452789245367492,0.688504326328801,0.7637130801687764,5
ERN,unpaired,rnafold,event_coverage,0.03765701909824769,0.0048820029876787616,0.03185666469777515,0.04632801732624532,5
ERN,unpaired,rnafold,event_delta_f1,0.0061227003798814735,0.0013305734191904112,0.00409091330732847,0.007682908733529947,5
ERN,unpaired,rnafold,event_resulting_precision,0.8932149837920058,0.0034425932950824974,0.8884324412267144,0.8985486301794083,5
ERN,unpaired,rnafold,event_resulting_recall,0.8682816229116946,0.0014539876224987523,0.865612569610183,0.8699681782020684,5
ERN,unpaired,rnafold,event_resulting_f1,0.8805661554110479,0.0013305734191904112,0.878534368338495,0.8821263637646964,5
